SMILES,N#C/C(=C1\CCC[NH2+]1)c1ccc2ccccc2n1,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,O=[N+]([O-])c1ccccc1Nc1ccccc1,COCCN(CCOC)S(=O)(=O)c1ccc(C(=O)Nc2nc(-c3ccncc3)cs2)cc1,COc1cc([C@H]2CC(=O)c3c([nH]c(C(=O)OCCOC(C)C)c3C)C2)cc(OC)c1OC,COc1ccc(-c2nc(CSCC(=O)NCc3ccc4c(c3)OCO4)c(C)o2)cc1OC,COc1ccc(C(=O)Nc2ccc(-c3ccc(C)o3)cc2)cc1S(=O)(=O)N1CCOCC1,COc1ccc(N2CCN(c3nc(NCCc4ccc(OC)c(OC)c4)nc(OC)n3)CC2)cc1,COc1ccc(N2CCn3c2nc2c3c(=O)n(CCCc3ccccc3)c(=O)n2C)c(OC)c1,COc1ccc([C@@H]2CC(=O)c3cnc(NC(=O)c4ccccc4OC)nc3C2)c(OC)c1,Cn1c(C(=O)N2CCC[C@@H](C(=O)NCCCSC3CCCCC3)C2)cc2sccc21,O=C(C1CCN(S(=O)(=O)c2cccc3cccnc23)CC1)N1CC=C(c2ccccc2)CC1,CCCC(=O)Nc1nc2ccc(NC(=O)c3ccc(Br)o3)cc2s1,CCCC(=O)c1ccc(N2CCN(C(=O)c3ccccc3Br)CC2)c(F)c1,CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,COc1ccc(-c2cnnn2-c2ccc(NC(=O)c3ccco3)cc2)cc1OC,COc1ccc(Cl)cc1NS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,COc1ccc([C@H]2SCCN2S(=O)(=O)c2ccc(F)cc2)cc1OC,C[C@H](c1ccccc1)N1C[C@H](C(=O)N2CCN(c3ccccc3)CC2)CC1=O,Cc1cc(C)c2cc(CN(CCO)C(=O)Nc3ccc(Cl)cc3)c(=O)[nH]c2c1,N#CC1=C(SCC(=O)c2cc3ccccc3oc2=O)NC(=O)[C@@H](C#N)C12CCCC2,O=C(Nc1nc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cs1)c1cccs1,O=C1Nc2ccccc2C2(CC[NH+](CCc3ccc(C(F)(F)F)cc3)CC2)O1,O[C@H](COc1ccc2cc(Br)ccc2c1)C[NH+]1CCN(c2ccccn2)CC1,c1ccc(CC[NH+]2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,C=CCNc1nc(NCc2ccco2)nc(OCC)n1,C[C@@H]1CCCCN1c1nc(-c2ccncc2)nc2ccccc12,Cc1cccc(N2CCc3c2[nH+]c2ccccc2c3N)c1,Cn1c(-c2ccc(F)cc2)c[nH+]c1NCc1ccccc1,O=C1C[C@](O)(C(F)(F)F)Oc2c1ccc1ccccc21,O[C@H](CNc1nc2ccccc2s1)c1ccccc1,c1ccc(-c2nc3nonc3nc2-c2ccccc2)cc1,c1ccc(COc2nsnc2N2CCOCC2)cc1,C/C=C/c1ccc(OCCCCN2C(=O)NC(C)(C)C2=O)c(OC)c1,CCOc1cc(C(=O)Nc2ccc3c(c2)OCO3)ccc1OC(F)F,CCn1c(SCC(=O)N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,CCn1c(SCc2nc(=O)c3ccccc3[nH]2)nc2ccccc2c1=O,COC(=O)[C@@H](C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1CCC(C)C,COc1ccc(OC)c(Nc2cc(-c3ccccc3)nc(N)n2)c1,Cc1nnc(SCCC(=O)Nc2nc(-c3ccccc3)ns2)s1,Cc1noc(C)c1CSc1nc2[nH]ncc2c(=O)n1-c1ccccc1,FC(F)C(F)(F)C(F)(F)C(F)(F)c1cc(-c2ccccc2)n[nH]1,O=C(COc1ccc(Cl)cc1)Nc1nc(-c2cccs2)cs1,O=C1OCC2=C1[C@@H](c1ccc3c(c1)OCO3)Sc1ccccc1N2,O=C1c2ccccc2[C@H](Nc2ccc3c(c2)OCCO3)N1Cc1ccco1,O=S(=O)(Nc1cccc(-c2cn3ccsc3[nH+]2)c1)c1ccc(F)cc1,Oc1c(C[NH+]2CCN(c3ccccn3)CC2)cc(Cl)c2cccnc12,c1ccc(-c2csc(N3CCN(c4ccccn4)CC3)n2)cc1,c1ccc(C2=Nn3c(nnc3-c3cc(-c4ccccc4)n[nH]3)SC2)cc1
Cn1c(C(=O)N2CCC[C@@H](C(=O)NCCCSC3CCCCC3)C2)cc2sccc21,0.06593406593406594,0.12790697674418605,0.0625,0.11,0.10576923076923077,0.12037037037037036,0.1485148514851485,0.11,0.1320754716981132,0.10377358490566038,1.0,0.14,0.12244897959183673,0.14893617021276595,0.12631578947368421,0.13829787234042554,0.0970873786407767,0.13333333333333333,0.13043478260869565,0.17045454545454544,0.09803921568627451,0.11320754716981132,0.1595744680851064,0.0594059405940594,0.0891089108910891,0.0707070707070707,0.06315789473684211,0.13333333333333333,0.08695652173913043,0.11494252873563218,0.06593406593406594,0.09302325581395349,0.038461538461538464,0.10344827586206896,0.10309278350515463,0.11224489795918367,0.16853932584269662,0.08247422680412371,0.13829787234042554,0.06315789473684211,0.125,0.08823529411764706,0.044444444444444446,0.11702127659574468,0.08247422680412371,0.1111111111111111,0.125,0.09183673469387756,0.09090909090909091,0.07526881720430108
O=C(C1CCN(S(=O)(=O)c2cccc3cccnc23)CC1)N1CC=C(c2ccccc2)CC1,0.1375,0.16666666666666666,0.09722222222222222,0.12903225806451613,0.07920792079207921,0.10576923076923077,0.1827956989247312,0.08247422680412371,0.12871287128712872,0.16842105263157894,0.14,1.0,0.09473684210526316,0.13333333333333333,0.09782608695652174,0.09782608695652174,0.11458333333333333,0.14285714285714285,0.13953488372093023,0.22784810126582278,0.08163265306122448,0.13131313131313133,0.21176470588235294,0.09782608695652174,0.15555555555555556,0.13636363636363635,0.07954545454545454,0.18518518518518517,0.13253012048192772,0.0963855421686747,0.1375,0.1282051282051282,0.171875,0.13924050632911392,0.08602150537634409,0.08421052631578947,0.12643678160919541,0.13793103448275862,0.08602150537634409,0.11764705882352941,0.1724137931034483,0.12903225806451613,0.11392405063291139,0.11235955056179775,0.11235955056179775,0.10638297872340426,0.13333333333333333,0.20238095238095238,0.21621621621621623,0.13253012048192772
CCCC(=O)Nc1nc2ccc(NC(=O)c3ccc(Br)o3)cc2s1,0.0875,0.11538461538461539,0.10294117647058823,0.1744186046511628,0.09375,0.18085106382978725,0.17777777777777778,0.12222222222222222,0.1,0.15053763440860216,0.12244897959183673,0.09473684210526316,1.0,0.18072289156626506,0.0898876404494382,0.06593406593406594,0.21176470588235294,0.08235294117647059,0.09302325581395349,0.08139534883720931,0.1590909090909091,0.125,0.1511627906976744,0.0898876404494382,0.12359550561797752,0.09090909090909091,0.12345679012345678,0.09523809523809523,0.07142857142857142,0.0875,0.10126582278481013,0.23529411764705882,0.09230769230769231,0.10256410256410256,0.07777777777777778,0.2222222222222222,0.10588235294117647,0.13095238095238096,0.10227272727272728,0.0963855421686747,0.24050632911392406,0.12222222222222222,0.06329113924050633,0.1875,0.09195402298850575,0.1111111111111111,0.10112359550561797,0.10227272727272728,0.075,0.07142857142857142
CCCC(=O)c1ccc(N2CCN(C(=O)c3ccccc3Br)CC2)c(F)c1,0.1038961038961039,0.1038961038961039,0.10606060606060606,0.11235955056179775,0.10752688172043011,0.10101010101010101,0.14285714285714285,0.13793103448275862,0.14893617021276595,0.15384615384615385,0.14893617021276595,0.13333333333333333,0.18072289156626506,1.0,0.15853658536585366,0.09195402298850575,0.10989010989010989,0.1111111111111111,0.13580246913580246,0.2465753424657534,0.12359550561797752,0.13978494623655913,0.11494252873563218,0.10465116279069768,0.18072289156626506,0.13253012048192772,0.08536585365853659,0.13924050632911392,0.15789473684210525,0.13333333333333333,0.13333333333333333,0.09333333333333334,0.078125,0.13513513513513514,0.09195402298850575,0.1686746987951807,0.13580246913580246,0.13414634146341464,0.07954545454545454,0.08536585365853659,0.14285714285714285,0.11235955056179775,0.10810810810810811,0.09411764705882353,0.09411764705882353,0.13953488372093023,0.10344827586206896,0.15853658536585366,0.13513513513513514,0.11392405063291139
CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0.07692307692307693,0.12,0.09090909090909091,0.07692307692307693,0.0625,0.08,0.08421052631578947,0.10112359550561797,0.15053763440860216,0.08333333333333333,0.12631578947368421,0.09782608695652174,0.0898876404494382,0.15853658536585366,1.0,0.11904761904761904,0.08695652173913043,0.1125,0.12345679012345678,0.1111111111111111,0.07608695652173914,0.08247422680412371,0.09090909090909091,0.2702702702702703,0.1686746987951807,0.19230769230769232,0.08641975308641975,0.1125,0.12987012987012986,0.13513513513513514,0.12,0.1095890410958904,0.07936507936507936,0.136986301369863,0.13253012048192772,0.11627906976744186,0.08333333333333333,0.09523809523809523,0.056179775280898875,0.08641975308641975,0.09195402298850575,0.08888888888888889,0.15714285714285714,0.06976744186046512,0.15,0.11494252873563218,0.13095238095238096,0.175,0.12162162162162163,0.12987012987012986
COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,0.05,0.09090909090909091,0.058823529411764705,0.08888888888888889,0.1590909090909091,0.14893617021276595,0.1839080459770115,0.16666666666666666,0.20224719101123595,0.15555555555555556,0.13829787234042554,0.09782608695652174,0.06593406593406594,0.09195402298850575,0.11904761904761904,1.0,0.16279069767441862,0.18666666666666668,0.18181818181818182,0.0975609756097561,0.13793103448275862,0.06060606060606061,0.07865168539325842,0.06818181818181818,0.0898876404494382,0.056818181818181816,0.060240963855421686,0.08536585365853659,0.14473684210526316,0.10526315789473684,0.07692307692307693,0.038461538461538464,0.030303030303030304,0.07792207792207792,0.175,0.10344827586206896,0.12345679012345678,0.06976744186046512,0.11904761904761904,0.1282051282051282,0.06741573033707865,0.08888888888888889,0.038461538461538464,0.05747126436781609,0.06976744186046512,0.10227272727272728,0.07954545454545454,0.06818181818181818,0.0641025641025641,0.0875
COc1ccc(-c2cnnn2-c2ccc(NC(=O)c3ccco3)cc2)cc1OC,0.07142857142857142,0.1111111111111111,0.09859154929577464,0.15555555555555556,0.1368421052631579,0.25274725274725274,0.2976190476190476,0.2235294117647059,0.17708333333333334,0.2087912087912088,0.0970873786407767,0.11458333333333333,0.21176470588235294,0.10989010989010989,0.08695652173913043,0.16279069767441862,1.0,0.1728395061728395,0.19753086419753085,0.12941176470588237,0.15384615384615385,0.09900990099009901,0.1590909090909091,0.08695652173913043,0.10752688172043011,0.1511627906976744,0.175,0.09195402298850575,0.10714285714285714,0.15384615384615385,0.08433734939759036,0.0875,0.1044776119402985,0.12658227848101267,0.17647058823529413,0.21428571428571427,0.0898876404494382,0.10112359550561797,0.12359550561797752,0.189873417721519,0.14772727272727273,0.13043478260869565,0.0875,0.12643678160919541,0.07692307692307693,0.17045454545454544,0.10989010989010989,0.13636363636363635,0.08536585365853659,0.09411764705882353
COc1ccc(Cl)cc1NS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,0.0821917808219178,0.09722222222222222,0.11666666666666667,0.14814814814814814,0.12790697674418605,0.15730337078651685,0.2727272727272727,0.19230769230769232,0.1590909090909091,0.1511627906976744,0.13333333333333333,0.14285714285714285,0.08235294117647059,0.1111111111111111,0.1125,0.18666666666666668,0.1728395061728395,1.0,0.3230769230769231,0.1038961038961039,0.13253012048192772,0.08695652173913043,0.28169014084507044,0.05952380952380952,0.09523809523809523,0.07317073170731707,0.07792207792207792,0.12,0.1232876712328767,0.0821917808219178,0.06756756756756757,0.05555555555555555,0.06779661016949153,0.09859154929577464,0.17105263157894737,0.1375,0.10256410256410256,0.07407407407407407,0.09876543209876543,0.2028985507246377,0.07142857142857142,0.08139534883720931,0.05555555555555555,0.12987012987012986,0.0875,0.09523809523809523,0.2,0.12658227848101267,0.08333333333333333,0.07894736842105263
COc1ccc([C@H]2SCCN2S(=O)(=O)c2ccc(F)cc2)cc1OC,0.06578947368421052,0.125,0.09523809523809523,0.15853658536585366,0.16470588235294117,0.19318181818181818,0.21951219512195122,0.21794871794871795,0.16853932584269662,0.1744186046511628,0.13043478260869565,0.13953488372093023,0.09302325581395349,0.13580246913580246,0.12345679012345678,0.18181818181818182,0.19753086419753085,0.3230769230769231,1.0,0.11538461538461539,0.06666666666666667,0.07368421052631578,0.19230769230769232,0.07058823529411765,0.11904761904761904,0.08433734939759036,0.0759493670886076,0.11688311688311688,0.10526315789473684,0.14084507042253522,0.08,0.08333333333333333,0.06557377049180328,0.14285714285714285,0.19736842105263158,0.14814814814814814,0.08641975308641975,0.08536585365853659,0.08333333333333333,0.1643835616438356,0.08235294117647059,0.09195402298850575,0.08333333333333333,0.08536585365853659,0.14102564102564102,0.10588235294117647,0.21052631578947367,0.0963855421686747,0.1111111111111111,0.10526315789473684
C[C@H](c1ccccc1)N1C[C@H](C(=O)N2CCN(c3ccccc3)CC2)CC1=O,0.1111111111111111,0.14285714285714285,0.11475409836065574,0.08045977011494253,0.13953488372093023,0.08333333333333333,0.13793103448275862,0.14634146341463414,0.14444444444444443,0.16279069767441862,0.17045454545454544,0.22784810126582278,0.08139534883720931,0.2465753424657534,0.1111111111111111,0.0975609756097561,0.12941176470588237,0.1038961038961039,0.11538461538461539,1.0,0.09195402298850575,0.12222222222222222,0.12195121951219512,0.0975609756097561,0.13414634146341464,0.17105263157894737,0.06329113924050633,0.14864864864864866,0.1527777777777778,0.1267605633802817,0.1267605633802817,0.14925373134328357,0.10344827586206896,0.16176470588235295,0.08433734939759036,0.10843373493975904,0.12987012987012986,0.1282051282051282,0.125,0.09090909090909091,0.1375,0.16049382716049382,0.1,0.08641975308641975,0.11392405063291139,0.13414634146341464,0.07058823529411765,0.125,0.16176470588235295,0.136986301369863
